제목,가격,판매지수,출판년월
2026 LH한국토지주택공사 NCS 직업기초능력평가 FINAL 봉투모의고사(5급·6급),"15,300","판매지수 3,855",2026년 04월
에듀윌 부산시 통합채용+부산교통공사 실전모의고사(NCS 5회+관계법령 2회+전공 1회+무료특강),"22,500","판매지수 11,730",2026년 04월
2026 프로야구 가이드북,"26,100","판매지수 25,479",2026년 04월
청춘의 투자 2,"18,000","판매지수 6,018",2026년 03월
2026 해커스군무원 실전동형모의고사 국어 16회분 (9·7급 군무원),"20,610","판매지수 9,378",2026년 02월
반복의 쓸모,"17,820","판매지수 16,782",2026년 02월
친밀한 가해자,"12,600","판매지수 18,351",2026년 01월
해커스 Updated 토플 리스닝 베이직 (Hackers Updated TOEFL LISTENING BASIC),"20,700","판매지수 14,403",2025년 11월
상처받지 않는 영혼 (10주년 기념판),"15,120","판매지수 24,594",2025년 06월
타몬 군 지금 어느 쪽?! 9,"5,400","판매지수 15,684",2025년 04월
컬러 몬스터 : 감정의 구급상자,"13,500","판매지수 16,485",2024년 03월
주술회전 24 일반판,"5,400","판매지수 24,648",2023년 12월
향기로운 꽃은 늠름하게 핀다 1,"5,400","판매지수 23,544",2023년 08월
주술회전 21 일반판,"5,400","판매지수 24,126",2022년 12월
데일리 필로소피,"16,200","판매지수 43,197",2021년 12월
문학을 열다 세트,"67,500","판매지수 41,502",2020년 09월
구름빵,"11,700","판매지수 24,402",2019년 12월
지리의 힘,"18,000","판매지수 34,569",2016년 08월
오월의 달리기,"10,800","판매지수 32,886",2013년 05월
무진기행,"9,900","판매지수 19,551",2007년 08월
무비랜드 메이킹북,"19,800","판매지수 12,840",2026년 04월
생각이 보이는 교실 2,"20,000","판매지수 13,743",2026년 03월
마법천자문 70,"14,310","판매지수 26,046",2026년 03월
"인테리어, 호구 안 당하는 체크리스트","24,750","판매지수 11,022",2026년 03월
2026 [직8딴] 김영북스 직접 8일 만에 딴 산업안전기사 실기 (필답형+작업형),"34,200","판매지수 15,786",2026년 04월
긴키 지방의 어느 장소에 대하여,"15,120","판매지수 49,845",2025년 04월
단 3개의 미국 ETF로 은퇴하라,"17,820","판매지수 82,713",2025년 03월
태도에 관하여 (20만 부 기념 완결판),"16,200","판매지수 47,394",2024년 09월
영어로 문장 만들기 훈련 1차 임계점,"19,800","판매지수 66,579",2024년 07월
황천의 츠가이 5 일반판,"5,850","판매지수 11,034",2024년 03월
주술회전 4,"5,400","판매지수 22,350",2019년 05월
언어의 온도,"12,420","판매지수 27,795",2016년 08월
왜 세계의 절반은 굶주리는가?,"11,520","판매지수 34,056",2016년 03월
감정에 이름 붙이기,"16,200","판매지수 11,949",2026년 04월
2027 김중규 원픽 선행정학,"24,300","판매지수 2,484",2026년 05월
부자 되기의 과학,"15,120","판매지수 5,184",2026년 05월
2027 LEET 대비 파이널 엄선 모의고사 추리논증 3회분,"26,600","판매지수 6,810",2026년 04월
"원큐패스 서경석 한국사능력검정시험 심화 기출문제집 (저자 직강 무료 동영상, 제77회 기출문제 수록)","16,200","판매지수 11,118",2026년 04월
하이엔드 아비투스,"17,820","판매지수 7,410",2026년 05월
비실비실 선생님 12,"5,850","판매지수 19,107",2026년 04월
읽으면서 바로 써먹는 어린이 공포의 수학 퍼즐 2,"11,700","판매지수 38,382",2025년 12월
맞춤법 천재라면,"13,500","판매지수 57,156",2025년 06월
가난한 찰리의 연감,"29,700","판매지수 28,074",2024년 11월
황천의 츠가이 6 일반판,"5,850","판매지수 8,202",2024년 08월
가시고기,"15,300","판매지수 42,738",2024년 02월
향기로운 꽃은 늠름하게 핀다 6,"5,400","판매지수 22,194",2024년 02월
용선생 교과서 세계사 2,"14,400","판매지수 52,932",2023년 12월
황천의 츠가이 4 일반판,"5,850","판매지수 11,160",2023년 10월
당연하게도 나는 너를,"12,150","판매지수 39,180",2023년 03월
황천의 츠가이 1,"5,850","판매지수 11,832",2022년 08월
나는 나로 살기로 했다 (영미권 출간기념 특별판),"15,750","판매지수 33,576",2022년 02월
주술회전 2,"5,400","판매지수 22,497",2019년 03월
7년의 밤,"16,650","판매지수 18,072",2011년 03월
파이로매니악 1,"19,800","판매지수 8,580",2026년 04월
전생했더니 슬라임이었던 건에 대하여 이문 ~마국에 사는 트리니티~ 11,"6,300","판매지수 2,340",2026년 05월
2027 김영북스 공부돼지 벼락치기 한능검 한국사능력검정시험 심화(1·2·3급),"26,100","판매지수 2,964",2026년 05월
2026 김건호 헌법 찐합격노트,"35,000","판매지수 8,862",2026년 05월
변호사 어벤저스 11,"14,220","판매지수 10,074",2026년 04월
노릇노릇 딴생각을 구웠어,"12,150","판매지수 4,287",2026년 04월
"내가 연인이 될 수 있을 리 없잖아, 무리무리! (※무리가 아니었다?!) 단편집","9,450","판매지수 8,199",2026년 04월
예수님과 한 달 살기,"13,500","판매지수 8,142",2026년 04월
힘껏 사랑하고 듬뿍 사랑받기를,"16,200","판매지수 4,170",2026년 05월
양배추를 응원해 주세요,"11,520","판매지수 15,330",2026년 03월
나도 상처 받지 않고 친구도 상처 받지 않는 감정 표현 연습,"13,500","판매지수 25,797",2026년 02월
시대예보: 경량문명의 탄생(시리즈 30만부 기념 리커버 한정판),"19,800","판매지수 133,602",2025년 09월
엄마를 만나러 가는 길 2,"16,020","판매지수 31,941",2025년 08월
아이의 어휘력을 위한 66일 필사 노트,"16,650","판매지수 70,938",2025년 04월
독끝 NCS 문제해결능력 자원관리능력 460제,"29,700","판매지수 31,512",2025년 03월
수학의 언어로 세상을 본다면,"16,020","판매지수 4,995",2024년 11월
해피버쓰데이,"15,300","판매지수 23,055",2024년 12월
돈에 대해 생각하고 또 생각하라,"15,300","판매지수 3,918",2024년 10월
내 언어의 한계는 내 세계의 한계이다,"16,920","판매지수 28,020",2024년 05월
향기로운 꽃은 늠름하게 핀다 7,"5,400","판매지수 22,584",2024년 03월
황천의 츠가이 3 일반판,"5,850","판매지수 10,830",2023년 05월
주술회전 22 일반판,"5,400","판매지수 23,916",2023년 05월
황천의 츠가이 2 일반판,"5,850","판매지수 11,220",2022년 12월
주술회전 20 일반판,"5,400","판매지수 22,908",2022년 10월
뭐가 다를까? 다른그림찾기 1000,"7,920","판매지수 43,575",2022년 05월
진짜 쓰는 실무 엑셀,"18,900","판매지수 73,107",2022년 02월
장송의 프리렌 1,"5,400","판매지수 15,366",2021년 11월
주술회전 10 일반판,"5,400","판매지수 20,808",2020년 12월
주술회전 9,"5,400","판매지수 20,064",2020년 11월
주술회전 7,"5,400","판매지수 21,072",2019년 12월
주술회전 5,"5,400","판매지수 21,282",2019년 07월
방구석 미술관,"16,020","판매지수 30,528",2018년 08월
"첫 여름, 완주 : 읽는 소설","15,300","판매지수 12,708",2026년 01월
우리 세희,"13,500","판매지수 2,280",2026년 05월
학습을 바꾸는 골든타임,"17,820","판매지수 4,056",2026년 05월
돈 주운 자의 최후,"12,600","판매지수 13,926",2026년 03월
포켓몬 대도감 1020+,"13,500","판매지수 8,937",2026년 03월
너구리 라면 가게 2,"12,600","판매지수 15,834",2026년 03월
어린이 같은 말 다른 뜻 사전,"16,020","판매지수 29,385",2026년 01월
2026 시대에듀 한국실용글쓰기 실제 기출로 끝내기,"18,000","판매지수 31,761",2026년 02월
정승제의 수학 대모험 1,"14,400","판매지수 45,975",2025년 11월
2026 심슨 문법 300제,"14,400","판매지수 36,231",2025년 10월
말뚝들,"15,120","판매지수 43,056",2025년 08월
어스플러스 2 : 엘리킹을 찾아라,"14,220","판매지수 19,656",2025년 04월
초역 부처의 말 필사집,"19,800","판매지수 60,144",2025년 03월
타몬 군 지금 어느 쪽?! 8,"5,400","판매지수 11,190",2024년 11월
역사의 쓸모,"16,200","판매지수 37,356",2024년 07월
향기로운 꽃은 늠름하게 핀다 5,"5,400","판매지수 20,484",2024년 01월
해커스 일본어 상용한자 2136,"21,600","판매지수 40,626",2024년 03월
향기로운 꽃은 늠름하게 핀다 2,"5,400","판매지수 22,542",2023년 10월
강남은 거대한 정신 병동이다,"15,000","판매지수 4,080",2023년 09월
주술회전 23 일반판,"5,400","판매지수 24,534",2023년 08월
ETS 토익 단기공략 850+ (LC+RC),"17,550","판매지수 44,004",2022년 06월
마음 소화제 뻥뻥수,"12,600","판매지수 11,676",2021년 11월
주술회전 8,"5,400","판매지수 20,202",2020년 10월
어린 왕자 오리지널 초판본,"2,880","판매지수 59,694",2020년 09월
원씽 THE ONE THING,"15,120","판매지수 49,023",2013년 08월
천년의 사랑,"13,500","판매지수 16,038",2013년 04월
기분을 말해 봐!,"11,700","판매지수 24,207",2011년 07월
보도 섀퍼의 돈,"15,030","판매지수 19,182",2011년 05월
달콤 쌉싸름한 초콜릿,"11,700","판매지수 22,143",2004년 10월
여러 개의 북을 두드리며,"17,820","판매지수 4,116",2026년 04월
넛지 디자인,"17,820","판매지수 3,828",2026년 05월
이너뷰티 리추얼,"17,100","판매지수 10,716",2026년 05월
차이나 반도체 라이징,"26,550","판매지수 5,850",2026년 04월
바빌론 부자들의 지혜,"15,120","판매지수 4,704",2026년 05월
플레이스 설계자,"17,100","판매지수 9,303",2026년 04월
2026 이진욱 세무사의 국세청 세무직 공무원 실무면접 가이드 : 국세편,"16,200","판매지수 2,580",2026년 05월
드래곤 퀘스트 다이의 대모험 -용사 아방과 옥염의 마왕- 12,"5,400","판매지수 6,996",2026년 04월
조선은행,"23,400","판매지수 1,623",2026년 05월
우산도 우산이 필요해,"13,500","판매지수 8,418",2026년 04월
2027 심우철 영기싹: 영어 기초 싹쓸이,"27,000","판매지수 6,426",2026년 04월
어린이를 위한 사피엔스 이야기,"16,920","판매지수 13,626",2026년 04월
오무라이스 잼잼 16,"18,900","판매지수 16,809",2026년 04월
바닷바람과 용의 보금자리 1,"6,300","판매지수 14,970",2026년 03월
잃어버린 건 없는지 잊은 건 아닌지,"13,500","판매지수 9,378",2026년 03월
2026 권규호 국어 시나리오 공무원 모의고사2,"31,500","판매지수 13,650",2026년 01월
"질문하는 방법, 어떻게 가르칠까?","17,100","판매지수 17,040",2025년 12월
흔한남매의 흔한 호기심 14,"15,120","판매지수 41,046",2025년 12월
해커스 Updated 토플 리딩 베이직 (Hackers Updated TOEFL READING BASIC),"20,700","판매지수 17,049",2025년 11월
이병한의 테크노-차이나 탐문,"16,200","판매지수 21,162",2025년 11월
거인을 읽다,"22,500","판매지수 37,938",2025년 10월
2026 에듀윌 전기기사 필기 7+3개년 기출문제집,"29,700","판매지수 16,452",2025년 09월
독끝 NCS 통합기본서 (PSAT형+모듈형+피듈형) 공기업 대비,"26,100","판매지수 48,747",2026년 02월
엄마를 만나러 가는 길 1,"16,020","판매지수 32,121",2025년 08월
고전이 답했다 마땅히 가져야 할 부에 대하여,"16,020","판매지수 105,501",2025년 07월
2025 해커스 LH 한국토지주택공사 NCS+전공 봉투모의고사,"21,600","판매지수 8,115",2025년 06월
순간을 달리는 할머니 2,"16,200","판매지수 30,318",2025년 06월
초판본 오만과 편견,"4,950","판매지수 33,132",2025년 03월
멋진 신세계,"10,800","판매지수 19,449",2024년 11월
파과 (리커버),"16,020","판매지수 59,448",2018년 04월
착! 붙는 중국어 독학 첫걸음,"15,120","판매지수 32,223",2024년 03월
공존하는 소설,"15,300","판매지수 13,266",2023년 09월
당신은 결국 무엇이든 해내는 사람,"15,300","판매지수 30,384",2022년 04월
"디바인 매트릭스, 느낌이 현실이 된다","14,220","판매지수 13,179",2021년 06월
밝은 밤,"15,300","판매지수 35,487",2021년 07월
주술회전 6,"5,400","판매지수 20,904",2019년 09월
주술회전 1,"5,400","판매지수 23,277",2019년 03월
해커스 아이엘츠 리딩 베이직 (Hackers IELTS Reading Basic),"18,810","판매지수 27,237",2024년 01월
모리와 함께한 화요일,"13,500","판매지수 17,949",2017년 06월
시지프 신화,"10,800","판매지수 32,076",2016년 06월
앵무새 죽이기,"14,220","판매지수 24,981",2015년 06월
죄와 벌 2,"9,900","판매지수 36,195",2012년 03월
그리스인 조르바,"13,320","판매지수 19,068",2009년 12월
러브 온 더 락,"11,700","판매지수 18,870",2026년 04월
김민식의 내 몸을 바꾸는 평생 루틴,"18,000","판매지수 10,932",2026년 04월
네가 어떤 삶을 살든 나는 너를 응원할 것이다 1,"17,100","판매지수 2,538",2026년 05월
2027 신광은 형사법 형법 각론 기출 OX 선택형,"43,700","판매지수 4,929",2026년 05월
패배히로인이 너무 많아! @comic 4,"6,300","판매지수 5,271",2026년 04월
라이라이라이 6 더블특전판,"6,300","판매지수 9,408",2026년 04월
타키 포오 얼렁뚱땅 상식스쿨 9,"14,220","판매지수 9,657",2026년 04월
2026-2027 이진욱 세무사의 공무원 지방세법 기출플러스,"27,000","판매지수 21,498",2026년 04월
영어 단어의 톤과 의미 차이,"22,500","판매지수 16,113",2026년 04월
2026 해커스 투자자산운용사 한권합격 핵심개념+적중문제+공식노트,"34,110","판매지수 11,319",2026년 03월
설민석의 한국사 대모험 36,"14,400","판매지수 30,078",2026년 02월
시험 문해력 잡는 어휘 사전,"19,800","판매지수 18,879",2026년 02월
2026 해커스 전산회계 1급 3주 합격 이론+실무+최신기출 12회분+무료특강,"27,900","판매지수 13,605",2026년 01월
카구라바치 8 더블특전판,"5,850","판매지수 22,632",2025년 11월
2026 해커스 신용분석사 1부 한권합격 이론+적중문제+모의고사,"26,100","판매지수 15,267",2026년 01월
치즈 이야기,"15,300","판매지수 48,432",2025년 07월
사는 동안 틈틈이 행복합시다,"16,020","판매지수 51,471",2025년 05월
과자 사면 과학 드립니다,"13,500","판매지수 44,883",2025년 04월
타몬 군 지금 어느 쪽?! 7,"5,400","판매지수 10,920",2024년 07월
최민준의 아들코칭 백과,"16,920","판매지수 27,630",2023년 08월
생각이 보이는 교실,"18,000","판매지수 32,901",2023년 05월
창조적 행위,"17,820","판매지수 18,942",2023년 07월
도둑맞은 집중력,"16,920","판매지수 40,392",2024년 06월
불편한 편의점 2,"15,120","판매지수 31,833",2022년 08월
주술회전 19 일반판,"5,400","판매지수 21,744",2022년 06월
주술회전 17 일반판,"5,400","판매지수 21,372",2021년 11월
운명을 바꾸는 감정의 비밀,"17,820","판매지수 8,292",2026년 04월
너의 나쁜 무리,"15,300","판매지수 13,614",2026년 04월
원미동 사람들,"11,700","판매지수 20,970",2012년 12월
파이로매니악 2,"19,800","판매지수 8,064",2026년 04월
바이브 코더를 위한 최소한의 AI/IT 지식,"19,800","판매지수 6,003",2026년 04월
요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"21,600","판매지수 10,353",2026년 04월
너에게 들려주는 꿋꿋한 말,"16,200","판매지수 59,880",2025년 07월
마인드셋 (리커버 에디션),"18,000","판매지수 31,152",2023년 01월
『이너뷰티 리추얼』 UNA(최윤하) 저자 북토크,"10,000","판매지수 16,500",2026년 04월
학원 베이비시터즈 27,"5,400","판매지수 7,581",2026년 04월
"예슈아, 그는 그리스도","17,550","판매지수 3,060",2026년 03월
독학이라는 세계,"16,020","판매지수 7,929",2026년 04월
초등 과학 진짜 문해력 3-1,"12,600","판매지수 15,837",2026년 03월
사춘기는 처음이라,"17,100","판매지수 22,278",2026년 03월
우리 사이 한 뼘 반,"12,600","판매지수 26,088",2026년 03월
2026 황철곤 행정학 실전동형 모의고사 SEASON 1,"14,400","판매지수 24,360",2026년 02월
필연적 혼자의 시대,"17,100","판매지수 20,319",2026년 01월
리얼 도쿄,"18,900","판매지수 12,006",2026년 01월
거의 모든 것의 역사 2.0,"25,200","판매지수 15,867",2026년 01월
프로이트의 감정수업,"16,200","판매지수 51,429",2025년 11월
국보 : 상 · 청춘 편,"16,200","판매지수 11,814",2025년 11월
산만한 아이를 위한 본질육아,"19,800","판매지수 24,780",2025년 10월
왜 당신은 태도가 아니라 인생을 탓하는가,"14,400","판매지수 17,967",2025년 10월
가공범,"19,800","판매지수 135,222",2025년 07월
고양이 해결사 깜냥 8,"12,600","판매지수 76,656",2025년 06월
빛과 실,"13,500","판매지수 76,689",2025년 04월
일의 감각,"19,800","판매지수 35,574",2024년 11월
달샤베트,"13,500","판매지수 26,325",2024년 06월
향기로운 꽃은 늠름하게 핀다 8,"5,400","판매지수 21,582",2024년 05월
향기로운 꽃은 늠름하게 핀다 4,"5,400","판매지수 20,694",2024년 01월
부분과 전체,"20,700","판매지수 19,083",2023년 06월
10일 만에 끝내는 해커스 OPIc 오픽 Advanced 공략,"22,500","판매지수 45,078",2023년 10월
건전지 엄마,"13,500","판매지수 25,536",2023년 04월
주술회전 18 일반판,"5,400","판매지수 20,850",2022년 02월
아이주도 이유식 유아식 매뉴얼 세트,"21,150","판매지수 22,662",2021년 08월
햇빛초 대나무 숲에 새 글이 올라왔습니다,"13,050","판매지수 46,953",2020년 08월
스크루테이프의 편지,"11,700","판매지수 34,242",2018년 11월
해커스 아이엘츠 스피킹 베이직 (Hackers IELTS Speaking Basic),"20,610","판매지수 25,542",2024년 06월
해커스 아이엘츠 리스닝 베이직(Hackers IELTS Listening Basic),"18,810","판매지수 26,265",2024년 06월
해커스 아이엘츠 라이팅 베이직 (Hackers IELTS Writing Basic),"20,610","판매지수 25,434",2024년 02월
타이탄의 도구들 (블랙 에디션),"16,200","판매지수 37,032",2022년 06월
리틀 라이프 1,"13,320","판매지수 25,911",2016년 06월
영어순해 4th Edition,"18,900","판매지수 46,428",2011년 02월
무지개 물고기,"14,400","판매지수 18,510",1994년 04월
"한자, 문명의 무늬","45,600","판매지수 3,075",2026년 05월
파이로매니악 3,"19,800","판매지수 8,046",2026년 04월
화조풍월 12,"6,300","판매지수 1,980",2026년 05월
2027 해커스경찰 신동욱 경찰헌법 기출문제집 (경찰공무원),"55,800","판매지수 3,276",2026년 05월
고기 장수 박세죽(김해원 작가 친필 사인본),"13,500","판매지수 2,991",2026년 04월
2027 해커스공무원 이명호 올인원 관세법(관세직 9급·7급),"38,700","판매지수 3,486",2026년 04월
타마의 포상 7,"4,500","판매지수 5,880",2026년 04월
Go Go 카카오프렌즈 자연탐사 15 유라시아 대초원,"15,210","판매지수 16,980",2026년 04월
2027 설보연 SANTA 교육학 단권화,"36,000","판매지수 17,259",2026년 04월
옆자리 녀석이 그런 눈으로 쳐다본다 2,"6,300","판매지수 15,225",2026년 04월
학교에서 바로 쓰는 제미나이 & 노트북LM,"17,100","판매지수 11,211",2026년 04월
2026 박문각 공무원 강성빈 행정법총론 FINAL 적중모의고사(지방직),"17,100","판매지수 7,170",2026년 04월
중년에 지친 밤에는,"16,200","판매지수 10,254",2026년 03월
디지털로 쉬워지는 개념 기반 탐구 학습 (AI 에듀테크 수업 가이드),"19,000","판매지수 7,167",2026년 03월
JLPT(일본어능력시험) 한권으로 끝내기 N4,"25,200","판매지수 12,000",2026년 03월
1등급을 위한 중1 교과서 개념 한자,"17,100","판매지수 7,404",2026년 04월
중국어 명대사 필사집,"17,820","판매지수 22,716",2026년 03월
이지패스 2026 SQLD SQL 개발자,"23,400","판매지수 18,921",2026년 01월
텐배거 포트폴리오,"19,800","판매지수 54,846",2025년 12월
2026 해커스 신용분석사 2부 한권합격 이론+적중문제+모의고사,"26,100","판매지수 15,474",2026년 01월
외롭다면 잘 살고 있는 것이다,"16,200","판매지수 36,702",2025년 11월
고깔모자의 아틀리에 14,"5,400","판매지수 8,619",2025년 10월
2026 에듀윌 제과·제빵기능사 필기 한권끝장 기출복원모의고사 25회분,"18,000","판매지수 19,155",2025년 10월
