company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
MFine,Bengaluru Non-U.S.,600,75%,Healthcare,India,FALSE
Buenbit,Buenos Aires Non-U.S.,80,45%,Crypto,Argentina,TRUE
Klarna,Stockholm Non-U.S.,700,10%,Finance,Sweden,FALSE
PayPal,SF Bay Area,83,,Finance,United States,FALSE
BeyondMinds,Tel Aviv Non-U.S.,65,100%,Data,Israel,TRUE
Airtime,New York City,30,20%,Consumer,United States,TRUE
Olist,Curitiba Non-U.S.,,,Retail,Brazil,FALSE
ClickUp,San Diego,60,7%,Other,United States,FALSE
The Zebra,Austin,40,,Finance,United States,FALSE
Zenius,Jakarta Non-U.S.,200,,Education,Indonesia,FALSE
Gorillas,Berlin Non-U.S.,300,50%,Food,Germany,FALSE
Lacework,SF Bay Area,300,20%,Security,United States,TRUE
Bolt,SF Bay Area,240,27%,Finance,United States,FALSE
PeerStreet,Los Angeles,75,,Finance,United States,FALSE
Kontist,Berlin Non-U.S.,50,25%,Finance,Germany,FALSE
Coterie Insurance,Cincinnati,30,20%,Finance,United States,FALSE
Airlift,Lahore Non-U.S.,,31%,Logistics,Pakistan,TRUE
Getir,Istanbul Non-U.S.,,14%,Food,Turkey,FALSE
Zapp,London Non-U.S.,,10%,Food,United Kingdo??False,FALSE
Nuri,Berlin Non-U.S.,45,20%,Finance,Germany,FALSE
Dazn,London Non-U.S.,50,2%,Consumer,United Kingdo??False,FALSE
Foodpanda,Bucharest Non-U.S.,80,,Food,Romania,FALSE
Bitso,Mexico City Non-U.S.,80,11%,Crypto,Mexico,TRUE
VTEX,Sao Paulo Non-U.S.,200,13%,Retail,Brazil,FALSE
FrontRow,Bengaluru Non-U.S.,145,30%,Education,India,FALSE
Daloopa,New Delhi Non-U.S.,40,,Data,India,TRUE
Akerna,Denver,,,Logistics,United States,FALSE
Terminus,Atlanta,,,Marketing,United States,FALSE
Uncapped,London Non-U.S.,29,26%,Finance,United Kingdo??False,FALSE
Tempus Ex,SF Bay Area,,,Data,United States,TRUE
SumUp,Sao Paulo Non-U.S.,100,3%,Finance,Brazil,FALSE
Mobile Premier League,Bengaluru Non-U.S.,100,10%,Consumer,India,FALSE
SWVL,Dubai Non-U.S.,400,32%,Transportat,,
Cerebral,SF Bay Area,,,Healthcare,United States,FALSE
BookClub,Salt Lake City,12,25%,Education,United States,FALSE
Getta,Tel Aviv Non-U.S.,30,,Transportat,,FALSE
Tomo,Stamford,44,33%,Finance,United States,FALSE
Replicated,Los Angeles,50,,Infrastructu,,FALSE
Playtika,Tel Aviv Non-U.S.,250,6%,Consumer,Israel,FALSE
BlockFi,New York City,250,20%,Crypto,United States,TRUE
Wave Sports and Entertainment,Los Angeles,56,33%,Media,United States,TRUE
Studio,SF Bay Area,33,40%,Education,United States,FALSE
Automox,Boulder,,,Infrastructu,,FALSE
Desktop Metal,Boston,,12%,Other,United States,TRUE
Shopee,Singapore Non-U.S.,,,Food,Singapore,FALSE
Addi,Bogota Non-U.S.,,,Finance,Colombia,FALSE
TIFIN,Boulder,24,10%,Crypto,United States,TRUE
Hunty,Bogota Non-U.S.,30,,HR,Colombia,FALSE
Breathe,New Delhi Non-U.S.,50,33%,Healthcare,India,FALSE
Sami,Sao Paulo Non-U.S.,75,15%,Healthcare,Brazil,FALSE
Compass,New York City,450,10%,Real Estate,United States,FALSE
Redfin,Seattle,470,8%,Real Estate,United States,FALSE
Coinbase,SF Bay Area,1100,18%,Crypto,United States,TRUE
Swappie,Helsinki Non-U.S.,250,17%,Retail,Finland,FALSE
Wealthsimple,Toronto Non-U.S.,159,13%,Finance,Canada,FALSE
Weee!,SF Bay Area,150,10%,Food,United States,FALSE
Elementor,Tel Aviv Non-U.S.,60,15%,Media,Israel,FALSE
Notarize,Boston,110,25%,Legal,United States,FALSE
Airtame,Copenhagen Non-U.S.,15,,Consumer,Denmark,TRUE
JetClosing,Seattle,,100%,Real Estate,United States,FALSE
OpenWeb,Tel Aviv Non-U.S.,14,5%,Media,Israel,FALSE
Swyft,Toronto Non-U.S.,10,30%,Logistics,Canada,FALSE
Crehana,Lima Non-U.S.,,,Education,Peru,FALSE
Tonkean,SF Bay Area,23,23%,Other,United States,FALSE
Circulo Health,Columbus,,50%,Healthcare,United States,FALSE
PharmEasy,Mumbai Non-U.S.,40,,Healthcare,India,FALSE
Zumper,SF Bay Area,45,15%,Real Estate,United States,FALSE
JOKR,New York City,50,5%,Food,United States,FALSE
Bytedance,Shanghai Non-U.S.,150,,Consumer,China,FALSE
Finite State,Columbus,16,20%,Security,United States,TRUE
Socure,Reno,69,13%,Finance,United States,FALSE
Unacademy,Bengaluru Non-U.S.,150,3%,Education,India,FALSE
BitOasis,Dubai Non-U.S.,9,5%,Crypto,United Arab E??True,FALSE
CityMall,Gurugram Non-U.S.,191,30%,Retail,India,FALSE
Trax,Singapore Non-U.S.,100,12%,Retail,Singapore,FALSE
Aqgromalin,Chennai Non-U.S.,80,30%,Food,India,FALSE
SummerBio,SF Bay Area,101,100%,Healthcare,United States,FALSE
Brighte,Sydney Non-U.S.,30,15%,Energy,Australia,FALSE
Bybit,Singapore Non-U.S.,,,Crypto,Singapore,TRUE
Bonsai,Toronto Non-U.S.,30,55%,Retail,Canada,TRUE
Buzzer,New York City,,20%,Media,United States,FALSE
Tray.io,SF Bay Area,,10%,Data,United States,TRUE
SuperLearn,Bengaluru Non-U.S.,,100%,Education,India,FALSE
Frubana,Bogota Non-U.S.,,3%,Food,Colombia,FALSE
Sourcegraph,SF Bay Area,24,8%,Product,United States,FALSE
Community,Los Angeles,40,30%,Marketing,United States,FALSE
TaskUs,Los Angeles,52,0%,Support,United States,FALSE
Ebanx,Curitiba Non-U.S.,340,20%,Finance,Brazil,FALSE
Bungalow,SF Bay Area,70,,Real Estate,United States,FALSE
Sprinklr,New York City,50,,Support,United States,FALSE
Superpedestrian,Boston,35,7%,Transportat,,FALSE
MasterClass,SF Bay Area,120,20%,Education,United States,FALSE
Balto,St. Louis,30,,Sales,United States,FALSE
Voi,Stockholm Non-U.S.,35,10%,Transportat,,FALSE
Voly,Sydney Non-U.S.,,50%,Food,Australia,FALSE
IronNet,Washington D.C.,90,35%,Security,United States,TRUE
Mindgeek,Luxembourg Non-U.S.,,,Media,Luxembourg,FALSE
Ritual,Toronto Non-U.S.,23,16%,Food,Canada,FALSE
Netflix,SF Bay Area,300,3%,Media,United States,FALSE
Aura,Boston,70,9%,Security,United States,TRUE
Vouch,SF Bay Area,15,7%,Finance,United States,FALSE
Esper,Seattle,,12%,Other,United States,FALSE
Pipl,Spokane,22,13%,Security,United States,TRUE
Mark43,New York City,,,Other,United States,FALSE
Orchard,New York City,,10%,Real Estate,United States,FALSE
Ro,New York City,,18%,Healthcare,United States,FALSE
StreamElements,Tel Aviv Non-U.S.,,20%,Media,Israel,FALSE
Kune,Nairobi Non-U.S.,,100%,Food,Kenya,FALSE
Voyage SMS,Los Angeles,8,13%,Marketing,United States,FALSE
Bitpanda,Vienna Non-U.S.,270,27%,Crypto,Austria,TRUE
Give Legacy,Boston,,,Healthcare,United States,FALSE
Feather,New York City,,,Retail,United States,FALSE
Ethos Life,SF Bay Area,40,12%,Finance,United States,FALSE
Bestow,Dallas,41,14%,Finance,United States,FALSE
Sunday,Atlanta,90,23%,Finance,United States,FALSE
Postscript,SF Bay Area,43,,Marketing,United States,FALSE
SafeGraph,SF Bay Area,27,25%,Data,United States,TRUE
Banxa,Melbourne Non-U.S.,70,30%,Crypto,Australia,TRUE
Cue,San Diego,170,,Healthcare,United States,FALSE
Udaan,Bengaluru Non-U.S.,180,4%,Retail,India,FALSE
UiPath,New York City,210,5%,Data,United States,TRUE
AppLovin,SF Bay Area,300,12%,Marketing,United States,FALSE
Amount,Chicago,,18%,Finance,United States,FALSE
Huobi,Beijing Non-U.S.,300,30%,Crypto,China,TRUE
WhiteHat Jr,Mumbai Non-U.S.,300,,Education,India,FALSE
Sidecar Health,Los Angeles,110,40%,Healthcare,United States,FALSE
StockX,Detroit,80,,Retail,United States,FALSE
Bright Machines,SF Bay Area,30,8%,Data,Israel,TRUE
HealthMatch,Sydney Non-U.S.,18,50%,Healthcare,Australia,FALSE
Booktopia,Sydney Non-U.S.,,,Retail,Australia,FALSE
Nova Benefits,Bengaluru Non-U.S.,,30%,Healthcare,India,FALSE
Una Brands,Singapore Non-U.S.,,10%,Retail,Singapore,FALSE
Vezeeta,Dubai Non-U.S.,50,10%,Healthcare,United Arab E??False,FALSE
Clutch,Toronto Non-U.S.,76,22%,Transportat,,FALSE
Toppr,Mumbai Non-U.S.,350,,Education,India,FALSE
Unity,SF Bay Area,200,4%,Other,United States,FALSE
Niantic,SF Bay Area,85,8%,Consumer,United States,FALSE
AvantStay,Los Angeles,80,,Travel,United States,FALSE
Qumulo,Seattle,80,19%,Data,United States,TRUE
Parallel Wireless,Nashua,60,,Infrastructu,,FALSE
Modsy,SF Bay Area,,,Retail,United States,FALSE
Rows,Berlin Non-U.S.,18,30%,Other,Germany,FALSE
Baton,SF Bay Area,16,25%,Transportat,,FALSE
Substack,SF Bay Area,13,14%,Media,United States,FALSE
CommentSold,Huntsville,,,Retail,United States,FALSE
Degreed,SF Bay Area,,15%,Education,United States,FALSE
HomeLight,SF Bay Area,,19%,Real Estate,United States,FALSE
Volt Bank,Sydney Non-U.S.,,100%,Finance,Australia,FALSE
Oye Rickshaw,New Delhi Non-U.S.,40,20%,Transportat,,FALSE
Enjoy,SF Bay Area,400,18%,Retail,United States,FALSE
Snyk,Boston,30,,Security,United States,TRUE
Nate,New York City,30,20%,Retail,United States,FALSE
Stream,Boulder,20,12%,Product,United States,FALSE
Crejo.Fun,Bengaluru Non-U.S.,170,100%,Education,India,FALSE
Abra,SF Bay Area,12,5%,Crypto,United States,TRUE
Finleap Connect,Hamburg Non-U.S.,14,10%,Finance,Germany,FALSE
Sundae,SF Bay Area,,15%,Real Estate,United States,FALSE
Stash Financial,New York City,40,8%,Finance,United States,FALSE
Secfi,SF Bay Area,,,Finance,United States,FALSE
Gavelytics,Los Angeles,,100%,Legal,United States,FALSE
CircleUp,SF Bay Area,,,Finance,United States,FALSE
Papa,Miami,,15%,Other,United States,FALSE
Tonal,SF Bay Area,262,35%,Fitness,United States,FALSE
Fabric,New York City,120,40%,Logistics,United States,FALSE
Bryter,Berlin Non-U.S.,100,30%,Product,Germany,FALSE
Wave,Dakar Non-U.S.,300,15%,Finance,Senegal,FALSE
Involves,Florianópolis Non-U.S.,70,18%,Retail,Brazil,FALSE
100 Thieves,Los Angeles,12,,Consumer,United States,FALSE
Nuro,SF Bay Area,7,,Transportat,,FALSE
Arrival,London Non-U.S.,,30%,Transportat,,
ChowNow,Los Angeles,100,20%,Food,United States,FALSE
OpenSea,New York City,,20%,Crypto,United States,TRUE
Cosuno,Berlin Non-U.S.,,,Construction,Germany,FALSE
Alto Pharmacy,SF Bay Area,,,Healthcare,United States,FALSE
Kiavi,SF Bay Area,39,7%,Real Estate,United States,FALSE
Unstoppable Domains,SF Bay Area,42,25%,Crypto,United States,TRUE
The Mom Project,Chicago,54,15%,HR,United States,FALSE
Zego,London Non-U.S.,85,17%,Finance,United Kingdo??False,FALSE
Bright Money,Bengaluru Non-U.S.,100,50%,Finance,India,FALSE
Project44,Chicago,63,5%,Logistics,United States,FALSE
StyleSeat,SF Bay Area,,17%,Consumer,United States,FALSE
Aspire,SF Bay Area,23,,Marketing,United States,FALSE
Heroes,London Non-U.S.,24,20%,Retail,United Kingdo??False,FALSE
PACT Pharma,SF Bay Area,94,,Healthcare,United States,FALSE
Lusha,New York City,30,10%,Marketing,United States,FALSE
Elemy,SF Bay Area,,,Healthcare,United States,FALSE
Gemini,New York City,68,7%,Crypto,United States,TRUE
Hydrow,Boston,,35%,Fitness,United States,FALSE
TikTok,Los Angeles,,,Consumer,United States,FALSE
Vimeo,New York City,,6%,Consumer,United States,FALSE
Freshly,New York City,,25%,Food,United States,FALSE
Stint,London Non-U.S.,28,20%,HR,United Kingdo??False,FALSE
SellerX,Berlin Non-U.S.,28,,Retail,Germany,FALSE
M1,Chicago,38,,Finance,United States,FALSE
Olive,Columbus,450,31%,Healthcare,United States,FALSE
Invitae,SF Bay Area,1000,,Healthcare,United States,FALSE
Capsule,New York City,,13%,Healthcare,United States,FALSE
Flyhomes,Seattle,200,20%,Real Estate,United States,FALSE
Varo,SF Bay Area,75,,Finance,United States,FALSE
Just Eat Takeaway,Amsterdam Non-U.S.,390,,Food,Netherlands,FALSE
BlueStacks,SF Bay Area,60,,Other,United States,FALSE
Forma.ai,Toronto Non-U.S.,15,9%,Sales,Canada,TRUE
Introhive,Ferdericton Non-U.S.,57,16%,Sales,Canada,FALSE
Zencity,Tel Aviv Non-U.S.,30,20%,Other,Israel,FALSE
Splice,New York City,23,,Media,United States,FALSE
Arc,SF Bay Area,13,,HR,United States,FALSE
Lyft,SF Bay Area,60,2%,Transportat,,FALSE
Blockchain.com,London Non-U.S.,150,25%,Crypto,United Kingdo??True,TRUE
Callisto Media,SF Bay Area,140,35%,Media,United States,FALSE
AppGate,Miami,130,22%,Security,United States,TRUE
WHOOP,Boston,95,15%,Fitness,United States,FALSE
Rad Power Bikes,Seattle,63,10%,Transportat,,FALSE
Lunchbox,New York City,60,33%,Food,United States,FALSE
RealSelf,Seattle,11,5%,Healthcare,United States,FALSE
98point6,Seattle,,10%,Healthcare,United States,FALSE
Catalyst,New York City,,,Support,United States,FALSE
InVision,New York City,,50%,Product,United States,FALSE
Mural,SF Bay Area,,,Product,United States,FALSE
Smarsh,Portland,,,Other,,FALSE
Eucalyptus,Sydney Non-U.S.,50,20%,Healthcare,Australia,FALSE
Workstream,SF Bay Area,45,,HR,United States,FALSE
Quanto,Sao Paulo Non-U.S.,28,22%,Finance,Brazil,FALSE
Clarify Health,SF Bay Area,15,5%,Healthcare,United States,FALSE
Wizeline,SF Bay Area,,,Product,United States,FALSE
Boosted Commerce,Los Angeles,,5%,Retail,United States,FALSE
Owlet,Lehi,,,Healthcare,United States,FALSE
People.ai,SF Bay Area,,,Sales,United States,TRUE
Arete,Miami,,,Security,United States,TRUE
Soluto,Tel Aviv Non-U.S.,120,100%,Support,Israel,FALSE
Included Health,SF Bay Area,,6%,Healthcare,United States,FALSE
Pear Therapeutics,Boston,25,9%,Healthcare,United States,FALSE
Zymergen,SF Bay Area,80,,Other,United States,FALSE
Shopify,Ottawa Non-U.S.,1000,10%,Retail,Canada,FALSE
McMakler,Berlin Non-U.S.,90,,Real Estate,Germany,FALSE
Fiverr,Tel Aviv Non-U.S.,60,8%,Other,Israel,FALSE
Outbrain,New York City,38,3%,Marketing,United States,TRUE
Dover,SF Bay Area,23,30%,Recruiting,United States,FALSE
Immutable,Sydney Non-U.S.,20,6%,Crypto,Australia,TRUE
InDebted,Sydney Non-U.S.,40,17%,Finance,Australia,FALSE
Skai,Tel Aviv Non-U.S.,30,4%,Marketing,Israel,TRUE
Coinsquare,Toronto Non-U.S.,30,24%,Crypto,Canada,TRUE
Vox Media,Washington D.C.,39,2%,Media,United States,FALSE
Rivian,Detroit,840,6%,Transportat,,FALSE
Ribbon,New York City,136,,Real Estate,United States,FALSE
Metromile,SF Bay Area,60,20%,Finance,United States,FALSE
Laybuy,Auckland,45,,Finance,New Zealand,FALSE
Allbirds,SF Bay Area,23,,Retail,United States,FALSE
TextNow,Waterloo Non-U.S.,22,,Consumer,Canada,FALSE
Career Karma,SF Bay Area,60,33%,Education,United States,FALSE
Bikayi,Bengaluru Non-U.S.,,,Retail,India,FALSE
Brainbase,Los Angeles,,,Sales,United States,TRUE
Change.org,SF Bay Area,,19%,Other,United States,FALSE
Tapas Media,SF Bay Area,,,Media,United States,FALSE
Turntide,SF Bay Area,,20%,Energy,United States,FALSE
2U,Washington D.C.,,20%,Education,United States,FALSE
Ola,Bengaluru Non-U.S.,1000,,Transportat,,FALSE
Clearco,Toronto Non-U.S.,125,25%,Finance,Canada,FALSE
Imperfect Foods,SF Bay Area,50,,Food,United States,FALSE
Shelf Engine,Seattle,43,,Food,United States,FALSE
Sherpa,Toronto Non-U.S.,22,,Travel,Canada,FALSE
CoinFLEX,Victoria Non-U.S.,,,Crypto,Seychelles,TRUE
MissFresh,Beijing Non-U.S.,,,Food,China,FALSE
Yabonza,Sydney Non-U.S.,,100%,Real Estate,Australia,FALSE
Quantcast,SF Bay Area,40,6%,Marketing,United States,FALSE
Gatherly,Atlanta,,50%,Marketing,United States,FALSE
Vee,Tel Aviv Non-U.S.,16,32%,HR,Israel,FALSE
Metigy,Sydney Non-U.S.,75,100%,Marketing,Australia,FALSE
Almanac,SF Bay Area,,,Other,United States,FALSE
Anywell,Tel Aviv Non-U.S.,11,,Real Estate,Israel,FALSE
Blend,SF Bay Area,220,12%,Finance,United States,FALSE
Sema4,Stamford,250,13%,Healthcare,United States,FALSE
ThredUp,Chicago,,15%,Retail,United States,FALSE
ContraFect,New York City,16,37%,Healthcare,United States,FALSE
Updater,New York City,,,Other,United States,FALSE
Snapdocs,SF Bay Area,,10%,Real Estate,United States,FALSE
Edmodo,SF Bay Area,,100%,Education,United States,FALSE
Crypto.com,Singapore Non-U.S.,,,Crypto,Singapore,TRUE
Woven,Indianapolis,5,15%,HR,United States,FALSE
Pliops,Tel Aviv Non-U.S.,12,9%,Data,Israel,TRUE
AlayaCare,Montreal,80,14%,Healthcare,Canada,FALSE
Warren,Porto Alegre Non-U.S.,50,,Finance,Brazil,FALSE
Genesis,New York City,52,20%,Crypto,United States,TRUE
Tempo Automation,SF Bay Area,54,,Other,United States,FALSE
Swyftx,Brisbane Non-U.S.,74,21%,Crypto,Australia,TRUE
Fluke,Sao Paulo Non-U.S.,83,82%,Other,Brazil,FALSE
Malwarebytes,SF Bay Area,125,14%,Security,United States,TRUE
New Relic,SF Bay Area,110,5%,Infrastructu,,FALSE
Wheel,Austin,35,17%,Healthcare,United States,FALSE
Thirty Madison,New York City,,10%,Healthcare,United States,FALSE
Vendasta,Saskatoon Non-U.S.,,5%,Marketing,Canada,FALSE
Petal,New York City,,10%,Finance,United States,FALSE
Hodlnaut,Singapore Non-U.S.,40,80%,Crypto,Singapore,TRUE
Stripe,SF Bay Area,50,,Finance,United States,FALSE
Wayfair,Boston,870,5%,Retail,United States,TRUE
Amperity,Seattle,13,3%,Marketing,United States,FALSE
Tufin,Boston,55,10%,Security,United States,TRUE
NSO,Tel Aviv Non-U.S.,100,14%,Security,Israel,TRUE
Mr. Yum,Melbourne Non-U.S.,,17%,Food,Australia,FALSE
ShopX,Bengaluru Non-U.S.,,100%,Retail,India,FALSE
Skillshare,New York City,,,Education,United States,FALSE
Kogan,Melbourne Non-U.S.,,,Retail,Australia,FALSE
DataRobot,Boston,,26%,Data,United States,TRUE
Plato,SF Bay Area,29,50%,HR,United States,FALSE
Skedulo,SF Bay Area,31,8%,HR,United States,FALSE
Q4,Toronto Non-U.S.,50,8%,Other,Canada,FALSE
Packable,New York City,138,20%,Retail,United States,FALSE
Tier Mobility,Berlin Non-U.S.,180,16%,Transportat,,FALSE
Reali,SF Bay Area,140,100%,Real Estate,United States,FALSE
Loop,Washington D.C.,15,20%,Finance,United States,FALSE
Pix,SF Bay Area,,,Food,United States,FALSE
FreshDirect,Philadelphia,40,,Food,United States,FALSE
Impact.com,Los Angeles,,10%,Marketing,,FALSE
ShipBob,Chicago,,7%,Logistics,United States,FALSE
Loja Integrada,Sao Paulo Non-U.S.,25,10%,Retail,Brazil,FALSE
Better.com,New York City,,,Real Estate,United States,FALSE
Argyle,New York City,20,7%,Finance,United States,FALSE
Okta,SF Bay Area,24,,Security,United States,TRUE
Zymergen,SF Bay Area,80,,Other,United States,FALSE
Otonomo,Tel Aviv Non-U.S.,,,Transportat,,FALSE
54gene,Washington D.C.,95,30%,Healthcare,United States,FALSE
Meesho,Bengaluru Non-U.S.,300,,Retail,India,FALSE
Skillz,SF Bay Area,,,Consumer,United States,FALSE
Fungible,SF Bay Area,,,Crypto,United States,TRUE
Nate,New York City,30,,Retail,United States,FALSE
Immersive Labs,Bristol Non-U.S.,38,10%,Security,United Kingdo??True,TRUE
Electric,New York City,81,,Other,United States,FALSE
Hippo Insurance,SF Bay Area,70,10%,Finance,United States,FALSE
Snap,Los Angeles,1280,20%,Consumer,United States,FALSE
GoodRx,Los Angeles,140,16%,Healthcare,United States,FALSE
Smava,Berlin Non-U.S.,100,10%,Finance,Germany,FALSE
Clari,SF Bay Area,45,,Sales,United States,FALSE
Artnight,Berlin Non-U.S.,26,36%,Retail,Germany,FALSE
TCR2,Boston,30,20%,Healthcare,United States,FALSE
Apartment List,SF Bay Area,29,10%,Real Estate,United States,FALSE
Snagajob,Richmond,,,HR,United States,FALSE
The Wing,New York City,,100%,Real Estate,United States,FALSE
Viamo,Accra Non-U.S.,,,Other,Ghana,FALSE
Koo,Bengaluru Non-U.S.,40,,Consumer,India,FALSE
Propzy,Ho Chi Minh City Non-U.S.,,100%,Real Estate,Vietnam,FALSE
FullStory,Atlanta,,12%,Marketing,United States,FALSE
Patreon,SF Bay Area,80,17%,Media,United States,FALSE
Taboola,New York City,100,6%,Marketing,United States,FALSE
Checkout.com,London Non-U.S.,100,5%,Finance,United Kingdo??False,FALSE
Rubius,Boston,160,75%,Healthcare,United States,FALSE
Pitch,Berlin Non-U.S.,59,30%,Marketing,Germany,FALSE
Twilio,SF Bay Area,800,11%,Other,United States,FALSE
Netflix,SF Bay Area,30,,Media,United States,FALSE
Infarm,Berlin Non-U.S.,50,5%,Other,Germany,FALSE
Bitrise,Budapest Non-U.S.,,14%,Infrastructu,,FALSE
NextRoll,SF Bay Area,,7%,Marketing,United States,FALSE
DayTwo,SF Bay Area,,,Healthcare,United States,FALSE
WorkRamp,SF Bay Area,35,20%,HR,United States,FALSE
Acast,Stockholm Non-U.S.,70,15%,Media,Sweden,FALSE
LivePerson,New York City,193,11%,Support,United States,FALSE
TrueLayer,London Non-U.S.,40,10%,Finance,United Kingdo??False,FALSE
Clear,Bengaluru Non-U.S.,190,20%,Finance,India,FALSE
Shopee,Jakarta Non-U.S.,,,Food,Indonesia,FALSE
VideoAmp,Los Angeles,,2%,Marketing,United States,FALSE
Vesalius Therapeutics,Boston,29,43%,Healthcare,United States,FALSE
Ola,Bengaluru Non-U.S.,200,,Transportat,,FALSE
Curative,Los Angeles,109,,Healthcare,United States,FALSE
Ada,Toronto Non-U.S.,78,16%,Support,Canada,FALSE
Compass,New York City,271,,Real Estate,United States,FALSE
Ouster,SF Bay Area,,10%,Transportat,,FALSE
99,Sao Paulo Non-U.S.,75,2%,Transportat,Brazil,FALSE
Zappos,Las Vegas,,4%,Retail,United States,FALSE
Candidate Labs,SF Bay Area,,,HR,United States,FALSE
Kitty Hawk,SF Bay Area,100,100%,Aerospace,United States,FALSE
Made.com,London Non-U.S.,,35%,Retail,United Kingdo??False,FALSE
Klarna,Stockholm Non-U.S.,100,,Finance,Sweden,FALSE
NYDIG,New York City,110,33%,Crypto,United States,TRUE
Pesto,SF Bay Area,,100%,Other,United States,FALSE
Truiloo,Vancouver Non-U.S.,24,5%,Security,Canada,TRUE
Moss,Berlin Non-U.S.,70,15%,Finance,Germany,FALSE
Konfio,Mexico City Non-U.S.,180,,Finance,Mexico,FALSE
Foxtrot,Chicago,26,4%,Food,United States,FALSE
Instacart,SF Bay Area,,,Food,United States,FALSE
Graphcore,Bristol Non-U.S.,,,Data,United Kingdo??True,TRUE
Divvy Homes,SF Bay Area,40,12%,Real Estate,United States,FALSE
Volta,SF Bay Area,,10%,Transportat,,FALSE
Front,SF Bay Area,,,Support,United States,FALSE
DocuSign,SF Bay Area,671,9%,Sales,United States,FALSE
Westwing,Munich Non-U.S.,125,,Retail,Germany,FALSE
Mux,SF Bay Area,40,20%,Infrastructu,,FALSE
Zenjob,Berlin Non-U.S.,,,HR,Germany,FALSE
Solarisbank,Berlin Non-U.S.,,10%,Finance,Germany,FALSE
Pastel,SF Bay Area,,100%,Food,United States,FALSE
Carsome,Kuala Lumpur Non-U.S.,,10%,Transportat,,FALSE
Spin,SF Bay Area,78,10%,Transportat,,FALSE
Truepill,SF Bay Area,,,Healthcare,United States,FALSE
ExtraHop,Seattle,,,Security,United States,TRUE
Playdots,New York City,65,100%,Consumer,United States,FALSE
Salesforce,SF Bay Area,90,,Sales,United States,FALSE
Qin1,Noida Non-U.S.,,100%,Education,India,FALSE
Flux Systems,London Non-U.S.,,100%,Finance,United Kingdo??False,FALSE
Beyond Meat,Los Angeles,200,19%,Food,United States,FALSE
Clear Capital,Reno,378,27%,Real Estate,United States,FALSE
Huawei,Shenzen Non-U.S.,,,Hardware,China,FALSE
Flipboard,SF Bay Area,24,21%,Media,United States,FALSE
Ada Health,Berlin Non-U.S.,50,,Healthcare,Germany,FALSE
Tiendanube,Buenos Aires,50,5%,Marketing,Argentina,FALSE
Nuri,Berlin Non-U.S.,,100%,Crypto,Germany,TRUE
Microsoft,Seattle,,,Other,United States,TRUE
Leafly,Seattle,56,21%,Retail,United States,FALSE
Faire,SF Bay Area,84,7%,Retail,United States,TRUE
AtoB,SF Bay Area,32,30%,Finance,United States,FALSE
InfoSum,London Non-U.S.,20,12%,Security,United Kingdo??True,TRUE
Gopuff,Philadelphia,250,,Food,United States,FALSE
Collibra,Brussels Non-U.S.,,,Data,Belgium,TRUE
Side,SF Bay Area,,,Real Estate,United States,FALSE
Clever Real Estate,St. Louis,,,Real Estate,United States,FALSE
Starry,Boston,,50%,Other,United States,FALSE
Roofstock,SF Bay Area,,20%,Real Estate,United States,FALSE
Arrival,London Non-U.S.,,,Transportat,,FALSE
Sales Boomerang,Baltimore,20,,Sales,,FALSE
Loom,SF Bay Area,23,11%,Product,United States,FALSE
Zeus Living,SF Bay Area,64,46%,Real Estate,United States,FALSE
Hotmart,Belo Horizonte Non-U.S.,227,12%,Marketing,Brazil,FALSE
Khoros,Austin,120,10%,Sales,,FALSE
F5,Seattle,100,1%,Security,United States,TRUE
Synapsica,New Delhi Non-U.S.,30,30%,Healthcare,India,FALSE
Elinvar,Berlin Non-U.S.,43,33%,Finance,Germany,FALSE
Volta,SF Bay Area,,54%,Transportat,,FALSE
Antidote Health,Tel Aviv Non-U.S.,23,38%,Healthcare,Israel,FALSE
OrCam,Jerusalem Non-U.S.,62,16%,Healthcare,Israel,FALSE
Unico,Sao Paulo Non-U.S.,50,4%,Other,Brazil,FALSE
McMakler,Berlin Non-U.S.,100,,Real Estate,Germany,FALSE
Snyk,Boston,198,14%,Security,United States,TRUE
Cerebral,SF Bay Area,400,20%,Healthcare,United States,FALSE
Philips,Amsterdam Non-U.S.,4000,5%,Healthcare,Netherlands,FALSE
Convoy,Seattle,,,Logistics,United States,FALSE
Callisto Media,SF Bay Area,,35%,Media,United States,FALSE
Vee,Tel Aviv Non-U.S.,17,50%,HR,Israel,FALSE
Embroker,SF Bay Area,30,12%,Finance,United States,FALSE
Fundbox,SF Bay Area,150,42%,Finance,United States,FALSE
MindBody,San Luis Obispo,400,15%,Fitness,United States,FALSE
Seagate,SF Bay Area,3000,8%,Hardware,United States,FALSE
Zillow,Seattle,300,5%,Real Estate,United States,FALSE
Argo AI,Pittsburgh,173,,Transportat,,TRUE
GoFundMe,SF Bay Area,94,12%,Finance,United States,FALSE
Carbon,SF Bay Area,,,Hardware,United States,FALSE
Cybereason,Boston,200,17%,Security,United States,TRUE
Spreetail,Austin,,,Retail,United States,TRUE
GoNuts,Mumbai Non-U.S.,,100%,Media,India,FALSE
Lattice,SF Bay Area,13,,HR,United States,FALSE
Recharge,Los Angeles,84,17%,Finance,United States,FALSE
RenoRun,Montreal Non-U.S.,210,43%,Construction,Canada,FALSE
Amazon,Seattle,150,,Retail,United States,TRUE
